comment,date,writer_name,movie_name,rating
"This movie was funny, i am not a Will Farrell fan in the least, (in fact i despise him) but i watched part 1 of this movie earlier on in the night and i just HAD to see part two.  it was hilarious.  Not only was Farrell tolerable he actually mad me laugh for a change, he totally changed his persona and was not the normal obnoxious actor he once was, Mark wahlberg put on a great display.  Lets just say i personally was impressed with the movie and i am a tough critic.","May 17, 2018",Robert Januchowski,Daddy's Home 2,5.0
"I think if one is not used to real quality writers...well orchestrated scenes...used to the quality that movies used to have..then a simple mind would be content w/this.  It seemed as tho' the writers were not committed to a well written play, had the feel of rushed to put together ""SOMETHING"" that could be put out before Christmas.  Mel Gibson playing a rebel rouser who acted much like a drunkekn sailor w/no real morals, Will Ferrel who is suppose to keep rolling on his past so called comedy conquest....John Lithgow always is an excellent performer....the kids were surrounded by bad parenting, they get intoxicated become foul mouthed...the little brother has a thing for his sister, albeit step sister, which is not known until the end when he kisses her. Then there is a line of young girls to get their kisses from him while standing under the mistle toe & then you see a small boy who is in line to kiss him which is more of the movie industry preying on children & twisting their minds. Earlier in the movie Ferrel stated he had a genderless flash cards in order to give the 8yrs old son the ""talk""...which is hellyweirds way of gender confusion goals. I didn't laugh once. This is NOT a family movie & would NEVER PERMIT ANY OF MY CHILDREN TO WATCH IT nor would I pay to rent it. I'm very surprised Mel Gibson would even accept such a raunchy part whose role was to be an absentee disapointing father figure. It has more of a feel that they  used the A List of Actors to sell this movie because the script itself could never sell it. If you want to waste time & don't care on what you waste your time then this would be the movie for that.  Just like the music of my era...young adults disapointed in todays generation of music...nothing original, nor creative...all sounds the same...back in the 60's, 70's & 80's great years in music & from the 40's, 50's, 60's, 70's & even the 80's were great years in movies.  Real wit, humor, orchestration....family movie's were family movies...there were no bad languages or horrors of remarks of genitals making a man or not....scripts took talent...being ingenious..I didn't laugh once thru out this movie, was glad it was over & don't want to ever endure anything like this again.  Flat out insulting. It would not have been hard to have made this into a really good family movie...if that would be the goal, but obviously wasn't the goal nor the intentions of this movie","November 23, 2018",Talara Masters,Daddy's Home 2,2.0
"Holy wow, I was really liking this movie, thought I'd play it for all the kids when they come for xmas, seems like a pretty well made kids xmas movie.. then 2/3 thru the movie they present guns right propaganda and handing a little kid a gun to kill an animal.  You can tell there's 2 right wingers in this movie (Mark Wahlberg and Mel Gibson).  I'm just flabbergasted they put this horrid scene into the movie.  There should be a WARNING about this propaganda before parents innocently have their kids exposed to this propaganda without them knowing what's in the movie.","November 22, 2018",CherryM,Daddy's Home 2,1.0
I love Zombieland. It is one of the few movies I think that understands how to have fun and be humorous while still treating the character relationships and development seriously.  It pokes fun at zombie movies without resorting to slapstick or stupid humor.,"January 18, 2018",Andrew Cooper,Zombieland,4.0
this was better than the first one i thought!! so funny!,"February 9, 2018",Barbara Brown,Daddy's Home 2,5.0
"I thought I was getting a zombie comedy movie, instead I got a boring teen romance movie with zombies in the background. One huge problem is there's never any sense of danger or urgency, so I wasn't invested emotionally with any of the characters. I didn't care if they lived or died or whether low rent Michael Cera clone Jesse Eisenberg would hook up with Emma Stone or whether Woody Harrelson ever finds a Twinkie. This movie is in fact one big Twinkie. It's too light and sugary for my taste and has zero nutritional value. Oh sure the movie looks good at first, but the comedy (and zombies) feel like tacked on accessories to a predictable and ultimately pandering Hollywood plot. The ""hero"" learns to engage with other humans and finds the family he's always been looking for including the girl of course. Woody Harrelson is just there for contrast and to help the ""hero"" on his journey. The one exception to the general tedium is a cameo by Bill Murray. Unfortunately his role is a small and all too brief one. You want a funny and original zombie movie? Watch Shaun Of The Dead. This one might be good to watch while folding laundry.","May 30, 2019",Chet Fakir,Zombieland,2.0
"Surprised  by laughter.  Both husband  and I  enjoyed  this.  I  don't  usually rate  movies but this  sequel  in seamless.  granted  it  was  typical  Christmas stuff,  But  most CHRISTMAS movies  are.  duh.  I thought  the  multiple  families  worked  very well together.  I  did not  think Mel  stole  the show  as  some  wanted  to say  in their  reviews.  We were falling  out  of  our  chairs  and  our cats  were  falling  out of  our  laps.  Hoping  for  number three.","March 5, 2018",J. L.,Daddy's Home 2,5.0
Then keep moving.,"March 31, 2018",Adonya,Soul Plane,5.0
"Frieda Ferrell the actress portrays herself in what she claims to be a true story.  However, it is not a true story.  Frieda Ferrell was a model before the alleged incident, not a Pilates instructor.  The alleged event happened in London, not the US.  She did not have a daughter.  She was allegedly held for three days.  After her alleged escape, she waited several days to contact the police and she never contacted her boyfriend at the time again.  The police apparently found her story implausible, although they did investigate.  Of course her alleged captor never apprehended.  The police have not corroborated her story or commented on the case.  While it is important to believe people when they report crimes, it is also important to require evidence and corroboration and not believe every story you hear, especially when the story is presented in a way that seems to be more for the purpose of advancing your career rather than stopping and punishing terrible crimes.  The movie itself is a piece of trash, even as a horror thriller, with no psychological tension.","February 20, 2019",Veronica L,Apartment 407,1.0
"In what seems like one of the most indie films of the year, Donald Glover and Rihanna take on a story of love, war, and everything in between. With cinematography that echoes City of God and a soundtrack that screams Gambino this movie will not disappoint. While the film as a whole could've definitely been longer it was nice to see a formulaic change and I for one am very excited to watch it again.","April 13, 2019",Everett Shirey,Guava Island,5.0
